title,company,location,description,salary_min,salary_max,created,category
Data Analyst,Fuzen IT Solutions,"Hyderabad, Telangana","Company Description Fuzen IT Solutions is a global leader in leveraging advanced machine learning, artificial intelligence, and data science to deliver transformative business results. With a strong presence across Europe, the UK, and the USA, the company also operates a scalable delivery hub in India, specializing in data science, artificial intelligence, and statistics. Established in 2018, the India facility serves global clients while offering corporate and professional training in data sci…",,,2025-12-05T01:15:54Z,IT Jobs
Data Analyst,Live Connections,"Bangalore, Karnataka","Role - Data Analyst Experience - 6 to 12 years Work Location - Bangalore Required Notice Period - Immediate Joiners Interview Process Rounds - 2 1st Round virtual 2nd round Face-to-face Must Have 6 to 12 years of experience Should be working as a Data Analyst Should be working with Databricks Should be working with Power BI or Tableau Job Description We are seeking a skilled Data Analyst with expertise in Databricks, Power BI, or Tableau to join our team. The ideal candidate should be able to e…",,,2025-12-25T13:39:22Z,IT Jobs
Data Analyst,LogFix SCM Solutions Pvt Ltd,"Bangalore, Karnataka","Job Description: Data Analyst – AI Systems About the Role: We are seeking a Data Analyst to join our AI team, focused on data cleaning, dataset curation, annotation quality control, and model performance analysis for AI systems deployed in real-world environments. Key Responsibilities Data Cleaning & Dataset Curation Clean, validate, and preprocess customer-generated radar, image, and video datasets Identify and resolve corrupted, duplicate, mislabeled, or low-quality data samples Curate datase…",,,2025-12-24T10:18:38Z,IT Jobs
Data Analyst,VXI Global Solutions,"Tamil Nadu, India","Job Title: Data Analyst Job Description : As a Data Analyst at VXI Global Solutions, you will play a pivotal role in driving data-driven decision-making and providing actionable insights to enhance customer experience and management strategies. You will work closely with cross-functional teams to analyze data, generate reports, and deliver insights that inform business initiatives and drive operational excellence. This is an exciting opportunity to work with cutting-edge technologies and shape …",,,2025-12-20T08:59:32Z,IT Jobs
Data Analyst,EXL,"Chennai, Tamil Nadu","Data Analyst We are looking for highly motivated analytics professional for the role of Business Analytics Consultant to join our team of data experts in US Health Care payment integrity. As a consultant, you will be required to generate useful outcomes from payer’s claims data and policies. Skillsets: The ideal candidate will have – Minimum of 4 years of experience as a data analyst, with a proven track record of delivering data-driven insights and solutions to clients. Collaborate with stakeh…",,,2025-12-12T09:53:35Z,IT Jobs
Data Analyst,Scry AI,"Pune, Maharashtra","Position: Data Analyst Location: India (Remote) Employment Type: Full Time Schedule: Monday to Friday, Day Shift Experience: 2 Years in Data Analysis, Reporting, or Business Intelligence in Tech or SaaS Company Description Scry AI is a research-led enterprise AI company that builds intelligent platforms for BFSI, insurance, logistics, and industrial enterprises to drive efficiency, insight, and compliance. Our product suite includes Auriga for conversational AI, Collatio for document intelligen…",,,2025-11-06T03:03:15Z,IT Jobs
Data Analyst,"ARK Solutions, Inc.","Noida, Ghaziabad","WE ARE HIRING : DATA & REPORTING ANALYST Location: Noida Sector 62 Working Shift: 7pm to 4 am IST ABOUT ARK ARK Solutions, Inc. is a leading IT staffing and consulting firm delivering top talent to our public and private sector clients. With operations in both the U.S. and India, our success is built on speed, precision, and strong relationships with the people we serve. We are committed to ensuring client satisfaction by delivering the right talent at the right time. We are seeking a detailed …",,,2025-12-20T09:02:09Z,IT Jobs
Data Analyst,Valkyrie People Consulting,"Pune, Maharashtra","Job Title: Data Analyst Location: Pune, India Industry: Automotive Experience: 3 years of experience in data analysis, preferably within the automotive or manufacturing sector. Position Overview: The Data Analyst will be responsible for gathering, analyzing, and interpreting data to help the automotive company improve its operations, optimize supply chains, enhance customer satisfaction, and make informed business decisions. This role requires a strong background in data analysis techniques and…",,,2025-11-28T09:40:55Z,IT Jobs
Data Analyst,XYLEM LEARNING,"Kozhikode, Kerala","Job Title:Data Analyst – Sales Operations Location: Calicut (On-site) (Preference for candidates based in Calicut.) Experience: 3 to 5 years Department: Sales Operations Industry: EdTech About Xylem Learning Xylem Learning is a leading EdTech company dedicated to transforming education through innovation, data, and impactful learning solutions. We empower students with the tools and guidance they need to succeed in competitive exams and beyond. Role Overview We are looking for a highly analytic…",,,2025-12-12T09:46:23Z,IT Jobs
Data Analyst,Vensure Employer Solutions,"Noida, Ghaziabad","Job Title: Data Analyst Location: Noida Employment Type: Full-time About the Role We are looking for a detail-oriented Data Analyst to join our team. The ideal candidate will have strong analytical skills, experience in Data Modelling and Data Warehousing , and a proven ability to turn complex data into actionable insights. A Six Sigma Certification will be a significant advantage. Key Responsibilities Collect, clean, and analyze large datasets to identify trends and patterns. Design and implem…",,,2025-11-29T10:05:24Z,IT Jobs
