search_role,title,company,location,description,salary_min,salary_max,created,category
data analyst,Data Analyst,Fuzen IT Solutions,"Hyderabad, Telangana","Company Description Fuzen IT Solutions is a global leader in leveraging advanced machine learning, artificial intelligence, and data science to deliver transformative business results. With a strong presence across Europe, the UK, and the USA, the company also operates a scalable delivery hub in India, specializing in data science, artificial intelligence, and statistics. Established in 2018, the India facility serves global clients while offering corporate and professional training in data sci…",,,2025-12-05T01:15:54Z,IT Jobs
data analyst,Data Analyst,Live Connections,"Bangalore, Karnataka","Role - Data Analyst Experience - 6 to 12 years Work Location - Bangalore Required Notice Period - Immediate Joiners Interview Process Rounds - 2 1st Round virtual 2nd round Face-to-face Must Have 6 to 12 years of experience Should be working as a Data Analyst Should be working with Databricks Should be working with Power BI or Tableau Job Description We are seeking a skilled Data Analyst with expertise in Databricks, Power BI, or Tableau to join our team. The ideal candidate should be able to e…",,,2025-12-25T13:39:22Z,IT Jobs
data analyst,Data Analyst,LogFix SCM Solutions Pvt Ltd,"Bangalore, Karnataka","Job Description: Data Analyst – AI Systems About the Role: We are seeking a Data Analyst to join our AI team, focused on data cleaning, dataset curation, annotation quality control, and model performance analysis for AI systems deployed in real-world environments. Key Responsibilities Data Cleaning & Dataset Curation Clean, validate, and preprocess customer-generated radar, image, and video datasets Identify and resolve corrupted, duplicate, mislabeled, or low-quality data samples Curate datase…",,,2025-12-24T10:18:38Z,IT Jobs
data analyst,Data Analyst,VXI Global Solutions,"Tamil Nadu, India","Job Title: Data Analyst Job Description : As a Data Analyst at VXI Global Solutions, you will play a pivotal role in driving data-driven decision-making and providing actionable insights to enhance customer experience and management strategies. You will work closely with cross-functional teams to analyze data, generate reports, and deliver insights that inform business initiatives and drive operational excellence. This is an exciting opportunity to work with cutting-edge technologies and shape …",,,2025-12-20T08:59:32Z,IT Jobs
data analyst,Data Analyst,EXL,"Chennai, Tamil Nadu","Data Analyst We are looking for highly motivated analytics professional for the role of Business Analytics Consultant to join our team of data experts in US Health Care payment integrity. As a consultant, you will be required to generate useful outcomes from payer’s claims data and policies. Skillsets: The ideal candidate will have – Minimum of 4 years of experience as a data analyst, with a proven track record of delivering data-driven insights and solutions to clients. Collaborate with stakeh…",,,2025-12-12T09:53:35Z,IT Jobs
data analyst,Data Analyst,Scry AI,"Pune, Maharashtra","Position: Data Analyst Location: India (Remote) Employment Type: Full Time Schedule: Monday to Friday, Day Shift Experience: 2 Years in Data Analysis, Reporting, or Business Intelligence in Tech or SaaS Company Description Scry AI is a research-led enterprise AI company that builds intelligent platforms for BFSI, insurance, logistics, and industrial enterprises to drive efficiency, insight, and compliance. Our product suite includes Auriga for conversational AI, Collatio for document intelligen…",,,2025-11-06T03:03:15Z,IT Jobs
data analyst,Data Analyst,"ARK Solutions, Inc.","Noida, Ghaziabad","WE ARE HIRING : DATA & REPORTING ANALYST Location: Noida Sector 62 Working Shift: 7pm to 4 am IST ABOUT ARK ARK Solutions, Inc. is a leading IT staffing and consulting firm delivering top talent to our public and private sector clients. With operations in both the U.S. and India, our success is built on speed, precision, and strong relationships with the people we serve. We are committed to ensuring client satisfaction by delivering the right talent at the right time. We are seeking a detailed …",,,2025-12-20T09:02:09Z,IT Jobs
data analyst,Data Analyst,Valkyrie People Consulting,"Pune, Maharashtra","Job Title: Data Analyst Location: Pune, India Industry: Automotive Experience: 3 years of experience in data analysis, preferably within the automotive or manufacturing sector. Position Overview: The Data Analyst will be responsible for gathering, analyzing, and interpreting data to help the automotive company improve its operations, optimize supply chains, enhance customer satisfaction, and make informed business decisions. This role requires a strong background in data analysis techniques and…",,,2025-11-28T09:40:55Z,IT Jobs
data analyst,Data Analyst,XYLEM LEARNING,"Kozhikode, Kerala","Job Title:Data Analyst – Sales Operations Location: Calicut (On-site) (Preference for candidates based in Calicut.) Experience: 3 to 5 years Department: Sales Operations Industry: EdTech About Xylem Learning Xylem Learning is a leading EdTech company dedicated to transforming education through innovation, data, and impactful learning solutions. We empower students with the tools and guidance they need to succeed in competitive exams and beyond. Role Overview We are looking for a highly analytic…",,,2025-12-12T09:46:23Z,IT Jobs
data analyst,Data Analyst,Vensure Employer Solutions,"Noida, Ghaziabad","Job Title: Data Analyst Location: Noida Employment Type: Full-time About the Role We are looking for a detail-oriented Data Analyst to join our team. The ideal candidate will have strong analytical skills, experience in Data Modelling and Data Warehousing , and a proven ability to turn complex data into actionable insights. A Six Sigma Certification will be a significant advantage. Key Responsibilities Collect, clean, and analyze large datasets to identify trends and patterns. Design and implem…",,,2025-11-29T10:05:24Z,IT Jobs
data analyst,Data Analyst,"NTT DATA, Inc.",India,"Data Analyst Experience 4 Years Job Location/Work Mode Bangalore GDC – Hybrid Notice Period 0-30 Days Skills/Domain Experience Networking/Infra domain experience is must. SQL, Data Visualization tools, Dashboarding, Python",,,2025-12-12T09:49:02Z,IT Jobs
data analyst,Data Analyst,Vasu Travel & Tourism LLC,India,"Company Description Vasu Travel & Tourism LLC specializes in comprehensive travel solutions, serving both B2B and B2C clients with competitive travel tickets, visa assistance, and reliable transfer services. The company is dedicated to ensuring seamless travel experiences, whether for corporate purposes or personal adventures. Known for their 24/7 support and customized solutions, Vasu Travel & Tourism LLC tailors services to meet unique travel requirements. With a focus on hassle-free journeys…",,,2025-12-26T08:37:57Z,IT Jobs
data analyst,Data Analyst,Versetti Family Office,India,"Company Description Versetti Family Office, founded by serial entrepreneur Angel Versetti, is dedicated to advancing bold longevity ventures through funding, strategic guidance, and operational support. Operating as a Longevity Venture Builder, the company acts as a founding investor, commercial co-founder, and incubator, focusing on innovative startups with science-backed intellectual property. With an initial commitment of up to $4M per project during the pre-seed/seed stage and access to ext…",,,2025-12-26T08:39:33Z,IT Jobs
data analyst,Data Analyst,SysTechCorp Inc,"Hyderabad, Telangana","Job Title: Data Analyst/Engineer Location: Hyderabad Experience: 3-5 years Budget: 10.56 LPA Job description : Role Overview: We are seeking a skilled Data Analyst/Engineer on a contract basis to support our Process Mining initiatives. This role will focus on sourcing and transforming data, building analytics, and enabling automation through Celonis EMS. The ideal candidate will be a self-starter with strong technical expertise and the ability to work independently. Key Responsibilities: • Sour…",,,2025-12-05T01:19:34Z,IT Jobs
data analyst,Data Analyst,Tata Consultancy Services,"Bangalore, Karnataka","Job title: Data Analyst Job Location: Bangalore Experience : 5-13 years Virtual Interview : 28th Nov (Friday) Job Description: Visualization and Reporting Tools (e.g., PowerBI, Tableau), good data analytics and better communication skills Visualization and Reporting Tools (e.g., PowerBI, Tableau), Good data analytics Excellent communication skills within wholesaler to understand the question from vendors Getting the requirements through product team Performing the analysis on the data based on …",,,2025-11-26T09:58:19Z,IT Jobs
data analyst,Data Analyst,Brace Infotech Private Ltd,"Hyderabad, Telangana","Job Title: Data Analyst Work location: Hyderabad Work Mode: Hybrid Exp: 3 to 6years Notice Period: Immediate to 15Days We are seeking a highly skilled Tableau Developer with strong SQL expertise and a solid understanding of large-scale data environments , should work as an individual contributor . Required Skills: Proven experience developing dashboards and visualizations in Tableau Strong proficiency in SQL Good understanding of large-scale data processing and analytics Experience working with…",,,2025-12-18T02:38:27Z,IT Jobs
data analyst,Data Analyst,Care.fi,India,"Company Description Today, an Indian hospital revenue is largely dominated by Insurance payers - Govt  Private. With 200 payers in the mix, the overall revenue cycle management (RCM) in India is broken, opaque, and complex filled with unexpected shortfalls and delayed realizations. At Care.fi, we are building India’s first AI-led RCM platform for hospitals which will enable them to solve these pitfalls and thereby improving margins. Backed by marquee investors such as Peak XV (erstwhile Sequoia…",,,2025-12-19T08:56:51Z,IT Jobs
data analyst,Data Analyst,Tata Consultancy Services,"Gandhinagar, Gujarat","TCS is hiring for Data Analyst role. Shift - Rotational 24/7 Location - Gujarat Industry - Retail Exp - 2 - 6 years Qualification :- Minimum 15 years of regular, full-time education (10  2  3) is mandatory. Job description- Able to write Quantum tabulation program scripts. Able to write data edits in SPSS and perform data analysis in SPSS. Able to work with multiple data formats, viz. ASCII, SPSS, Excel, Dimensions etc Able to work on Response level data, weighting, data calculations and data e…",,,2025-12-06T01:25:34Z,IT Jobs
data analyst,Data Analyst,Risebird,India,"Hi, We are seeking a detail-oriented and analytical Data Analyst to join our team. In this role, you will collect, process, and analyze data to help inform business decisions, uncover trends, and identify opportunities for growth and optimization. Key Responsibilities: Collect and clean data from various sources to ensure accuracy and consistency Analyze complex datasets to identify trends, patterns, and insights Develop dashboards and reports using tools like Tableau, Power BI, or Excel Collab…",,,2025-11-30T09:49:44Z,IT Jobs
data analyst,Data Analyst,Delivery Hero,India,"About Delivery Hero India: Delivery Hero India is part of Delivery Hero Group, the world’s leading local delivery platform. We operate in over 70 countries worldwide, powered by tech but driven by people. Headquartered in Berlin, Germany. Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017 and is part of the MDAX stock market index. About the role: We are looking for a detail-oriented and analytical Data Analyst to join our team. The ideal candidate will excel in data explo…",,,2025-12-11T09:25:20Z,IT Jobs
data analyst,Data Analyst,Unacademy,India,"About the Role: We're looking for a sharp and driven Data Analyst to join our fast-paced team. If you're passionate about data, dashboards, and insights, this is your chance to work directly with our top leaders, shaping high-impact decisions at the top. Key Responsibilities: Build and maintain dynamic dashboards and reports Collaborate with leadership to drive business strategy Ensure timely and accurate data updates across systems Visualize data and draw insights to support decision making Wh…",,,2025-12-18T08:43:47Z,IT Jobs
data analyst,Data Analyst,Persistent Systems,"Pune, Maharashtra","About Position: The Senior Data Analyst role is designed for an expert-level professional who can transform raw data into actionable insights. This position focuses on building advanced dashboards, integrating data sources, and designing scalable data architectures. You will work closely with stakeholders to deliver high-quality analytics solutions that drive business decisions, leveraging tools like Power BI and Snowflake. Role: Data Analyst Location: All Persistent Locations Experience: 7 Yea…",,,2025-12-12T09:45:49Z,IT Jobs
data analyst,Data Analyst,Tritonium,India,"About Tritonium: Tritonium is an AI-powered SaaS platform that transforms app store reviews into actionable insights for mobile product teams. We generate rich data about user behavior, product usage, and AI-driven insights. We're looking for a Data Analyst to help us understand our customers, optimize our product, and drive data-informed decisions across the company. Job Responsibilities: Build and maintain dashboards that track key product and business metrics. Analyze user behavior and produ…",,,2025-12-12T09:53:34Z,IT Jobs
data analyst,Data Analyst,Hero Vired,"Delhi, India","About Hero Vired: Would you like to be part of an exciting, innovative, and high-growth startup from one of the largest and most well-respected business houses in the country - the Hero Group? Hero Vired is a premium learning experience offering industry-relevant programs and world-class partnerships, to create the change-makers of tomorrow. At Hero Vired, we believe everyone is made of big things. With the experience, knowledge, and expertise of the Hero Group, Hero Vired is on a mission to ch…",,,2025-12-26T08:39:29Z,IT Jobs
data analyst,Data Analyst,Battery Smart,India,"About the Role As a Data Analyst at Battery Smart, you will play a key role in driving data-backed decision-making across our fast-growing EV ecosystem. You will be responsible for collecting, analyzing, and interpreting operational and business data to generate actionable insights. Working closely with Strategy, Operations, and Product teams, you’ll help identify growth opportunities, optimize station performance, and improve driver experience through meaningful analytics and reporting. Your w…",,,2025-12-22T12:07:42Z,IT Jobs
data analyst,Data Analyst,DOMO Chemicals,"Navi Mumbai, Maharashtra","The Data Analyst supports the global digitalization strategy by enabling new product development, improving laboratory efficiency, and supporting cross-functional teams (R&D, Sales, Marketing, OEM). The role contributes to the setup, maintenance, and continuous improvement of a global materials data management system, ensuring high data quality and usability. Major Job Responsibilities Develop and implement digitalization tools to improve laboratory and business efficiency Build workflows, auto…",,,2025-12-19T08:58:57Z,IT Jobs
data analyst,Data Analyst,AEDALSOFT,India,"About Aedalsoft Aedalsoft is a software development company delivering scalable IT solutions across SaaS, PaaS, and custom software models. We work with global clients to build data-driven platforms that support informed business decisions. Role Overview We are looking for a Data Analyst who can collect, analyze, and interpret data to generate actionable insights. The role focuses on data reporting, visualization, and supporting stakeholders with accurate, insight-driven analysis. Key Responsib…",,,2025-12-25T13:39:20Z,IT Jobs
data analyst,Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka","Job Title : Data Analyst Location : Indiranagar, Bangalore Job Type : Full-time Experience : 4-6 years Job Overview We are looking for a skilled Data Management Specialist to support data validation, analysis, and reporting for clinical and preclinical studies. The role involves ensuring data accuracy, resolving discrepancies, and generating insights to support research objectives. Ideal candidates will be detail-oriented, collaborative, and experienced in data handling and compliance. Key Resp…",,,2025-12-11T09:26:57Z,IT Jobs
data analyst,Data Analyst,NEXUS CONSULTING SOLUTIONS,"Delhi, India","Job Title: Data Analyst – Credit Team (Personal Loan Division) Employment Type: This is an off-roll position, and payroll will be managed by a leading staffing partner. Location: 9–10, 4th Floor, Express Building, Bahadur Shah Zafar Marg, Balmiki Basti, Vikram Nagar, New Delhi – 110002 Work Mode: Work from Office (5 days a week) About DMI Finance Pvt. Ltd. DMI Finance Pvt. Ltd. is a leading NBFC offering innovative digital lending solutions. We leverage data-driven decision-making and technolog…",,,2025-12-25T13:37:44Z,IT Jobs
data analyst,Data Analyst,H.K.Designs,"Mumbai, Maharashtra","Location: Mumbai (SEEPZ) Company: Great Place to Work – 3 Years in a Row Fastest-Growing Company in Our Sector About the Company We are one of the world’s largest and fastest-growing lab-grown diamond and fine jewellery manufacturers, proudly certified as a Great Place to Work for 3 consecutive years. We work with leading overseas clients, with the USA as our primary market, and are expanding our data capabilities to support high-quality global operations. Role Overview We are looking for a det…",,,2025-11-29T10:02:06Z,IT Jobs
data analyst,Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu","Greetings from TATA CONSULTANCY SERVICES! Skill: Data Analyst Years of Experience: 5 - 10 years Location: Chennai/ Bangalore Job Description:- Role & Responsibilities Acquire and mine data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts. Active role…",,,2025-12-12T09:50:41Z,IT Jobs
data analyst,Data Analyst,RSM US LLP,India,"As a Financial Data Analyst 2 you will support the finance department in producing accurate and timely financial reports, performing basic analysis, and assisting in the continuous improvement of reporting processes. This role is ideal for a candidate eager to learn, with strong analytical skills, attention to detail, and an interest in financial analysis and data reporting The Analyst is responsible for the development, automation, compilation and analysis of data. Essential Duties Key Respons…",,,2025-12-18T02:41:10Z,Accounting & Finance Jobs
data analyst,Data Analyst,HCLTech,"Lucknow, Uttar Pradesh","Job description HCLTech Hiring Freshers for Data Analysis Position Walk-in Date - 5th December - 6th December , 11.00 AM - 2.00 PM Address - HCLTech, Village Kanjehara & Chack Gajaria Farms, Sultanpur Road, Mastemau, Lucknow, Uttar Pradesh 226002 Take entry from Gate1. SDC1 Building, Ground floor Contact - Aman Chhabra Role: Data Analyst Training: 1-Year  L1 Certification Job Location - HCLTech, Lucknow Shift Timings - Day Shifts Role & Responsibilities Performing the Data Analysis on the Custo…",,,2025-12-02T23:06:51Z,"Energy, Oil & Gas Jobs"
data analyst,Data Analyst,Hays,"Chennai, Tamil Nadu","This is contract to hire opportunity with 3 years of experience onwards., If you are interested pls share your resume to Karthik.Ravichandran@hays.com.au with below details. Over all exp; Relevant exp; Current location; CCTC; ECTC; Notice period; Job Description Essential for the role Quantitative bachelor’s degree from an accredited college or university is required in one of the following or related fields: Engineering, Operations Research, Management Science, Economics, Statistics, Applied M…",,,2025-12-06T09:40:46Z,IT Jobs
data analyst,Data Analyst,Evoke HR Solutions Pvt. Ltd.,"Pune, Maharashtra","Hiring: Analyst – Vendor Management / Data Operations Location: Pune Experience: 3 years Compensation: ₹12.5 LPA (Fixed)  18% Variable Qualification: Master’s degree  Role Overview We are looking for an Analyst with strong data handling and advanced Excel skills to support vendor data, compliance, reporting, and risk monitoring activities. This role involves working closely with internal stakeholders to maintain accurate vendor information and support regulatory and operational requirements.  K…",,,2025-12-25T13:41:08Z,IT Jobs
data analyst,Data Analyst,Visit Health,"Noida, Ghaziabad","About Us Visit Health is a pioneering health-tech platform, founded in 2016 by BITS Pilani alumni, dedicated to making healthcare accessible, affordable, and preventive. Originating as a telemedicine platform during the 2015 Swine Flu epidemic, Visit Health has grown into an all-in-one wellness ecosystem that connects doctors, insurers, and millions of families. Our services range from physical and mental wellness to OPD benefits, empowering both individuals and corporations to prioritize well-…",,,2025-12-26T08:36:43Z,IT Jobs
data analyst,Data Analyst,Northern Arc Capital,"Chennai, Tamil Nadu","NACL is hiring for the Chennai location and is looking for candidates who can join immediately. Only immediate joiners will be considered. Experience and skills: 3 years of experience in financial services analytics, preferably in banking, insurance, or investment management. Proficiency in SQL and Python/Scala/Java for large-scale data processing and analysis. Expertise with big data technologies, including Spark, Data Lake, Delta Lake, and Hive. Strong quantitative and problem-solving skills …",,,2025-11-28T09:46:36Z,IT Jobs
data analyst,Data Analyst,Veltris,India,"We are seeking a highly skilled Dental Practice Management (PMS) Analyst with strong domain knowledge of dental clinic operations, practice management systems, and financial workflows . The ideal candidate will have hands-on experience with major dental PMS platforms and a deep understanding of clinical, operational, and financial interfaces. Experience: 4 to 8 years Location- Remote(India) Key Responsibilities Analyse, interpret, and validate data across various Dental Practice Management Soft…",,,2025-12-12T09:53:27Z,Accounting & Finance Jobs
data analyst,Data Analyst,KPMG India,"Bangalore, Karnataka","About KPMG in India : KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijaya…",,,2025-11-19T08:15:57Z,IT Jobs
data analyst,Data Analyst,Balancehero India,India,"About Balancehero:- Balancehero India Pvt. Ltd. (BHI), the wholly-owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates the mobile app “True Balance”- a one-stop destination for financial services.” Founded by Charlie Lee in Korea in 2014, Balancehero started its operations in India in the year 2016. It started off as a balance check application and the company has expanded its business model to financial services. The company aims to build a financial platform for the next bi…",,,2025-11-30T09:48:24Z,IT Jobs
